|            |600000|浦发银行|      5300|1|0.10000|            |
|            |600009|上海机场|       400|1|0.10000|            |
|            |600016|民生银行|     11300|1|0.10000|            |
|            |600028|中国石化|      6100|1|0.10000|            |
|            |600030|中信证券|      3900|1|0.10000|            |
|            |600031|三一重工|      2700|1|0.10000|            |
|            |600036|招商银行|      4700|1|0.10000|            |
|            |600048|保利地产|      3300|1|0.10000|            |
|            |600050|中国联通|      4200|1|0.10000|            |
|            |600104|上汽集团|      1600|1|0.10000|            |
|            |600196|复星医药|       500|1|0.10000|            |
|            |600276|恒瑞医药|      1400|1|0.10000|            |
|            |600309|万华化学|       700|1|0.10000|            |
|            |600340|华夏幸福|       600|1|0.10000|            |
|            |600519|贵州茅台|       200|1|0.10000|            |
|            |600547|山东黄金|       500|1|0.10000|            |
|            |600585|海螺水泥|       900|1|0.10000|            |
|            |600690|海尔智家|      1700|1|0.10000|            |
|            |600703|三安光电|      1100|1|0.10000|            |
|            |600837|海通证券|      3700|1|0.10000|            |
|            |600887|伊利股份|      2800|1|0.10000|            |
|            |601012|隆基股份|      1200|1|0.10000|            |
|            |601066|中信建投|       200|1|0.10000|            |
|            |601088|中国神华|      1500|1|0.10000|            |
|            |601111|中国国航|      1300|1|0.10000|            |
|            |601138|工业富联|       800|1|0.10000|            |
|            |601166|兴业银行|      6600|1|0.10000|            |
|            |601186|中国铁建|      2100|1|0.10000|            |
|            |601211|国泰君安|      2100|1|0.10000|            |
|            |601236|红塔证券|       200|1|0.10000|            |
|            |601288|农业银行|     17400|1|0.10000|            |
|            |601318|中国平安|      4900|1|0.10000|            |
|            |601319|中国人保|       500|1|0.10000|            |
|            |601328|交通银行|     12500|1|0.10000|            |
|            |601336|新华保险|       400|1|0.10000|            |
|            |601390|中国中铁|      3700|1|0.10000|            |
|            |601398|工商银行|      9800|1|0.10000|            |
|            |601601|中国太保|      1400|1|0.10000|            |
|            |601628|中国人寿|       800|1|0.10000|            |
|            |601668|中国建筑|      9600|1|0.10000|            |
|            |601688|华泰证券|      2000|1|0.10000|            |
|            |601766|中国中车|      4400|1|0.10000|            |
|            |601818|光大银行|      7300|1|0.10000|            |
|            |601857|中国石油|      4400|1|0.10000|            |
|            |601888|中国国旅|       400|1|0.10000|            |
|            |601939|建设银行|      3100|1|0.10000|            |
|            |601988|中国银行|      9600|1|0.10000|            |
|            |601989|中国重工|      4100|1|0.10000|            |
|            |603259|药明康德|       300|1|0.10000|            |
|            |603993|洛阳钼业|      3200|1|0.10000|            |
