,secID,ticker,secShortName,exchangeCD,tradeDate,consID,consTicker,consName,consExchangeCD,quantity,cashSubsSign,CashRatio,fixedCahsAmount
0,510180.XSHG,510180,华安上证180ETF,XSHG,2020-04-30,600000.XSHG,600000,浦发银行,XSHG,2300,1,10.0,
1,510180.XSHG,510180,华安上证180ETF,XSHG,2020-04-30,600004.XSHG,600004,白云机场,XSHG,200,1,10.0,
2,510180.XSHG,510180,华安上证180ETF,XSHG,2020-04-30,600009.XSHG,600009,上海机场,XSHG,200,1,10.0,
3,510180.XSHG,510180,华安上证180ETF,XSHG,2020-04-30,600010.XSHG,600010,包钢股份,XSHG,4400,1,10.0,
4,510180.XSHG,510180,华安上证180ETF,XSHG,2020-04-30,600011.XSHG,600011,华能国际,XSHG,900,1,10.0,
5,510180.XSHG,510180,华安上证180ETF,XSHG,2020-04-30,600015.XSHG,600015,华夏银行,XSHG,1200,1,10.0,
6,510180.XSHG,510180,华安上证180ETF,XSHG,2020-04-30,600016.XSHG,600016,民生银行,XSHG,4800,1,10.0,
7,510180.XSHG,510180,华安上证180ETF,XSHG,2020-04-30,600018.XSHG,600018,上港集团,XSHG,900,1,10.0,
8,510180.XSHG,510180,华安上证180ETF,XSHG,2020-04-30,600019.XSHG,600019,宝钢股份,XSHG,1700,1,10.0,
9,510180.XSHG,510180,华安上证180ETF,XSHG,2020-04-30,600025.XSHG,600025,华能水电,XSHG,300,1,10.0,
10,510180.XSHG,510180,华安上证180ETF,XSHG,2020-04-30,600028.XSHG,600028,中国石化,XSHG,2600,1,10.0,
11,510180.XSHG,510180,华安上证180ETF,XSHG,2020-04-30,600029.XSHG,600029,南方航空,XSHG,800,1,10.0,
12,510180.XSHG,510180,华安上证180ETF,XSHG,2020-04-30,600030.XSHG,600030,中信证券,XSHG,1600,1,10.0,
13,510180.XSHG,510180,华安上证180ETF,XSHG,2020-04-30,600031.XSHG,600031,三一重工,XSHG,1100,1,10.0,
14,510180.XSHG,510180,华安上证180ETF,XSHG,2020-04-30,600036.XSHG,600036,招商银行,XSHG,2000,1,10.0,
15,510180.XSHG,510180,华安上证180ETF,XSHG,2020-04-30,600038.XSHG,600038,中直股份,XSHG,100,1,10.0,
16,510180.XSHG,510180,华安上证180ETF,XSHG,2020-04-30,600048.XSHG,600048,保利地产,XSHG,1400,1,10.0,
17,510180.XSHG,510180,华安上证180ETF,XSHG,2020-04-30,600050.XSHG,600050,中国联通,XSHG,1800,1,10.0,
18,510180.XSHG,510180,华安上证180ETF,XSHG,2020-04-30,600061.XSHG,600061,国投资本,XSHG,300,1,10.0,
19,510180.XSHG,510180,华安上证180ETF,XSHG,2020-04-30,600066.XSHG,600066,宇通客车,XSHG,300,1,10.0,
20,510180.XSHG,510180,华安上证180ETF,XSHG,2020-04-30,600068.XSHG,600068,葛洲坝,XSHG,500,1,10.0,
21,510180.XSHG,510180,华安上证180ETF,XSHG,2020-04-30,600085.XSHG,600085,同仁堂,XSHG,100,1,10.0,
22,510180.XSHG,510180,华安上证180ETF,XSHG,2020-04-30,600089.XSHG,600089,特变电工,XSHG,700,1,10.0,
23,510180.XSHG,510180,华安上证180ETF,XSHG,2020-04-30,600104.XSHG,600104,上汽集团,XSHG,700,1,10.0,
24,510180.XSHG,510180,华安上证180ETF,XSHG,2020-04-30,600109.XSHG,600109,国金证券,XSHG,500,1,10.0,
25,510180.XSHG,510180,华安上证180ETF,XSHG,2020-04-30,600111.XSHG,600111,北方稀土,XSHG,400,1,10.0,
26,510180.XSHG,510180,华安上证180ETF,XSHG,2020-04-30,600115.XSHG,600115,东方航空,XSHG,900,1,10.0,
27,510180.XSHG,510180,华安上证180ETF,XSHG,2020-04-30,600118.XSHG,600118,中国卫星,XSHG,100,1,10.0,
28,510180.XSHG,510180,华安上证180ETF,XSHG,2020-04-30,600150.XSHG,600150,中国船舶,XSHG,200,1,10.0,
29,510180.XSHG,510180,华安上证180ETF,XSHG,2020-04-30,600155.XSHG,600155,华创阳安,XSHG,100,1,10.0,
30,510180.XSHG,510180,华安上证180ETF,XSHG,2020-04-30,600176.XSHG,600176,中国巨石,XSHG,400,1,10.0,
31,510180.XSHG,510180,华安上证180ETF,XSHG,2020-04-30,600177.XSHG,600177,雅戈尔,XSHG,700,1,10.0,
32,510180.XSHG,510180,华安上证180ETF,XSHG,2020-04-30,600183.XSHG,600183,生益科技,XSHG,200,1,10.0,
33,510180.XSHG,510180,华安上证180ETF,XSHG,2020-04-30,600188.XSHG,600188,兖州煤业,XSHG,200,1,10.0,
34,510180.XSHG,510180,华安上证180ETF,XSHG,2020-04-30,600196.XSHG,600196,复星医药,XSHG,200,1,10.0,
35,510180.XSHG,510180,华安上证180ETF,XSHG,2020-04-30,600201.XSHG,600201,生物股份,XSHG,200,1,10.0,
36,510180.XSHG,510180,华安上证180ETF,XSHG,2020-04-30,600208.XSHG,600208,新湖中宝,XSHG,800,1,10.0,
37,510180.XSHG,510180,华安上证180ETF,XSHG,2020-04-30,600271.XSHG,600271,航天信息,XSHG,200,1,10.0,
38,510180.XSHG,510180,华安上证180ETF,XSHG,2020-04-30,600276.XSHG,600276,恒瑞医药,XSHG,600,1,10.0,
39,510180.XSHG,510180,华安上证180ETF,XSHG,2020-04-30,600297.XSHG,600297,广汇汽车,XSHG,600,1,10.0,
40,510180.XSHG,510180,华安上证180ETF,XSHG,2020-04-30,600298.XSHG,600298,安琪酵母,XSHG,100,1,10.0,
41,510180.XSHG,510180,华安上证180ETF,XSHG,2020-04-30,600309.XSHG,600309,万华化学,XSHG,300,1,10.0,
42,510180.XSHG,510180,华安上证180ETF,XSHG,2020-04-30,600332.XSHG,600332,白云山,XSHG,100,1,10.0,
43,510180.XSHG,510180,华安上证180ETF,XSHG,2020-04-30,600340.XSHG,600340,华夏幸福,XSHG,200,1,10.0,
44,510180.XSHG,510180,华安上证180ETF,XSHG,2020-04-30,600346.XSHG,600346,恒力石化,XSHG,400,1,10.0,
45,510180.XSHG,510180,华安上证180ETF,XSHG,2020-04-30,600352.XSHG,600352,浙江龙盛,XSHG,500,1,10.0,
46,510180.XSHG,510180,华安上证180ETF,XSHG,2020-04-30,600362.XSHG,600362,江西铜业,XSHG,200,1,10.0,
47,510180.XSHG,510180,华安上证180ETF,XSHG,2020-04-30,600383.XSHG,600383,金地集团,XSHG,400,1,10.0,
48,510180.XSHG,510180,华安上证180ETF,XSHG,2020-04-30,600398.XSHG,600398,海澜之家,XSHG,300,1,10.0,
49,510180.XSHG,510180,华安上证180ETF,XSHG,2020-04-30,600406.XSHG,600406,国电南瑞,XSHG,400,1,10.0,
50,510180.XSHG,510180,华安上证180ETF,XSHG,2020-04-30,600426.XSHG,600426,华鲁恒升,XSHG,200,1,10.0,
51,510180.XSHG,510180,华安上证180ETF,XSHG,2020-04-30,600436.XSHG,600436,片仔癀,XSHG,100,1,10.0,
52,510180.XSHG,510180,华安上证180ETF,XSHG,2020-04-30,600438.XSHG,600438,通威股份,XSHG,500,1,10.0,
53,510180.XSHG,510180,华安上证180ETF,XSHG,2020-04-30,600487.XSHG,600487,亨通光电,XSHG,300,1,10.0,
54,510180.XSHG,510180,华安上证180ETF,XSHG,2020-04-30,600489.XSHG,600489,中金黄金,XSHG,300,1,10.0,
55,510180.XSHG,510180,华安上证180ETF,XSHG,2020-04-30,600516.XSHG,600516,方大炭素,XSHG,300,1,10.0,
56,510180.XSHG,510180,华安上证180ETF,XSHG,2020-04-30,600519.XSHG,600519,贵州茅台,XSHG,100,1,10.0,
57,510180.XSHG,510180,华安上证180ETF,XSHG,2020-04-30,600522.XSHG,600522,中天科技,XSHG,500,1,10.0,
