,secID,ticker,secShortName,exchangeCD,tradeDate,consID,consTicker,consName,consExchangeCD,quantity,cashSubsSign,CashRatio,fixedCahsAmount
0,518880.XSHG,518880,华安易富黄金ETF,XSHG,2020-04-30,,Au9999,黄金9999,,3000,4,10,1134300
1,518880.XSHG,518880,华安易富黄金ETF,XSHG,2020-04-29,,Au9999,黄金9999,,3000,4,10,1131120
2,518880.XSHG,518880,华安易富黄金ETF,XSHG,2020-04-28,,Au9999,黄金9999,,3000,4,10,1141350
3,518880.XSHG,518880,华安易富黄金ETF,XSHG,2020-04-27,,Au9999,黄金9999,,3000,4,10,1143420
4,518880.XSHG,518880,华安易富黄金ETF,XSHG,2020-04-24,,Au9999,黄金9999,,3000,4,10,1136400
5,518880.XSHG,518880,华安易富黄金ETF,XSHG,2020-04-23,,Au9999,黄金9999,,3000,4,10,1120500
6,518880.XSHG,518880,华安易富黄金ETF,XSHG,2020-04-22,,Au9999,黄金9999,,3000,4,10,1123920
7,518880.XSHG,518880,华安易富黄金ETF,XSHG,2020-04-21,,Au9999,黄金9999,,3000,4,10,1110870
8,518880.XSHG,518880,华安易富黄金ETF,XSHG,2020-04-20,,Au9999,黄金9999,,3000,4,10,1109760
9,518880.XSHG,518880,华安易富黄金ETF,XSHG,2020-04-17,,Au9999,黄金9999,,3000,4,10,1134900
10,518880.XSHG,518880,华安易富黄金ETF,XSHG,2020-04-16,,Au9999,黄金9999,,3000,4,10,1122030
11,518880.XSHG,518880,华安易富黄金ETF,XSHG,2020-04-15,,Au9999,黄金9999,,3000,4,10,1131000
12,518880.XSHG,518880,华安易富黄金ETF,XSHG,2020-04-14,,Au9999,黄金9999,,3000,4,10,1115850
13,518880.XSHG,518880,华安易富黄金ETF,XSHG,2020-04-13,,Au9999,黄金9999,,3000,4,10,1116300
14,518880.XSHG,518880,华安易富黄金ETF,XSHG,2020-04-10,,Au9999,黄金9999,,3000,4,10,1110900
15,518880.XSHG,518880,华安易富黄金ETF,XSHG,2020-04-09,,Au9999,黄金9999,,3000,4,10,1110360
16,518880.XSHG,518880,华安易富黄金ETF,XSHG,2020-04-08,,Au9999,黄金9999,,3000,4,10,1113000
17,518880.XSHG,518880,华安易富黄金ETF,XSHG,2020-04-07,,Au9999,黄金9999,,3000,4,10,1087500
18,518880.XSHG,518880,华安易富黄金ETF,XSHG,2020-04-03,,Au9999,黄金9999,,3000,4,10,1081590
19,518880.XSHG,518880,华安易富黄金ETF,XSHG,2020-04-02,,Au9999,黄金9999,,3000,4,10,1080000
20,518880.XSHG,518880,华安易富黄金ETF,XSHG,2020-04-01,,Au9999,黄金9999,,3000,4,10,1092810
21,518880.XSHG,518880,华安易富黄金ETF,XSHG,2020-03-31,,Au9999,黄金9999,,3000,4,10,1091970
22,518880.XSHG,518880,华安易富黄金ETF,XSHG,2020-03-30,,Au9999,黄金9999,,3000,4,10,1096350
23,518880.XSHG,518880,华安易富黄金ETF,XSHG,2020-03-27,,Au9999,黄金9999,,3000,4,10,1086000
24,518880.XSHG,518880,华安易富黄金ETF,XSHG,2020-03-26,,Au9999,黄金9999,,3000,4,10,1088940
25,518880.XSHG,518880,华安易富黄金ETF,XSHG,2020-03-25,,Au9999,黄金9999,,3000,4,10,1070130
26,518880.XSHG,518880,华安易富黄金ETF,XSHG,2020-03-24,,Au9999,黄金9999,,3000,4,10,1017600
27,518880.XSHG,518880,华安易富黄金ETF,XSHG,2020-03-23,,Au9999,黄金9999,,3000,4,10,1020000
28,518880.XSHG,518880,华安易富黄金ETF,XSHG,2020-03-20,,Au9999,黄金9999,,3000,4,10,1008450
29,518880.XSHG,518880,华安易富黄金ETF,XSHG,2020-03-19,,Au9999,黄金9999,,3000,4,10,1015170
30,518880.XSHG,518880,华安易富黄金ETF,XSHG,2020-03-18,,Au9999,黄金9999,,3000,4,10,993210
31,518880.XSHG,518880,华安易富黄金ETF,XSHG,2020-03-17,,Au9999,黄金9999,,3000,4,10,1035000
32,518880.XSHG,518880,华安易富黄金ETF,XSHG,2020-03-16,,Au9999,黄金9999,,3000,4,10,1068060
33,518880.XSHG,518880,华安易富黄金ETF,XSHG,2020-03-13,,Au9999,黄金9999,,3000,4,10,1099470
34,518880.XSHG,518880,华安易富黄金ETF,XSHG,2020-03-12,,Au9999,黄金9999,,3000,4,10,1110000
35,518880.XSHG,518880,华安易富黄金ETF,XSHG,2020-03-11,,Au9999,黄金9999,,3000,4,10,1101030
36,518880.XSHG,518880,华安易富黄金ETF,XSHG,2020-03-10,,Au9999,黄金9999,,3000,4,10,1120380
37,518880.XSHG,518880,华安易富黄金ETF,XSHG,2020-03-09,,Au9999,黄金9999,,3000,4,10,1117200
38,518880.XSHG,518880,华安易富黄金ETF,XSHG,2020-03-06,,Au9999,黄金9999,,3000,4,10,1099470
39,518880.XSHG,518880,华安易富黄金ETF,XSHG,2020-03-05,,Au9999,黄金9999,,3000,4,10,1095000
40,518880.XSHG,518880,华安易富黄金ETF,XSHG,2020-03-04,,Au9999,黄金9999,,3000,4,10,1075920
41,518880.XSHG,518880,华安易富黄金ETF,XSHG,2020-03-03,,Au9999,黄金9999,,3000,4,10,1077120
42,518880.XSHG,518880,华安易富黄金ETF,XSHG,2020-03-02,,Au9999,黄金9999,,3000,4,10,1096080
43,518880.XSHG,518880,华安易富黄金ETF,XSHG,2020-02-28,,Au9999,黄金9999,,3000,4,10,1113900
44,518880.XSHG,518880,华安易富黄金ETF,XSHG,2020-02-27,,Au9999,黄金9999,,3000,4,10,1115280
45,518880.XSHG,518880,华安易富黄金ETF,XSHG,2020-02-26,,Au9999,黄金9999,,3000,4,10,1108590
