,secID,ticker,secShortName,exchangeCD,tradeDate,consID,consTicker,consName,consExchangeCD,quantity,cashSubsSign,CashRatio,fixedCahsAmount
0,510020.XSHG,510020,博时上证超大盘ETF,XSHG,2020-04-30,600028.XSHG,600028,中国石化,XSHG,3000,1,10.0,
1,510020.XSHG,510020,博时上证超大盘ETF,XSHG,2020-04-30,600030.XSHG,600030,中信证券,XSHG,800,1,10.0,
2,510020.XSHG,510020,博时上证超大盘ETF,XSHG,2020-04-30,600031.XSHG,600031,三一重工,XSHG,1000,1,10.0,
3,510020.XSHG,510020,博时上证超大盘ETF,XSHG,2020-04-30,600036.XSHG,600036,招商银行,XSHG,500,1,10.0,
4,510020.XSHG,510020,博时上证超大盘ETF,XSHG,2020-04-30,600050.XSHG,600050,中国联通,XSHG,2600,1,10.0,
5,510020.XSHG,510020,博时上证超大盘ETF,XSHG,2020-04-30,600104.XSHG,600104,上汽集团,XSHG,700,1,10.0,
6,510020.XSHG,510020,博时上证超大盘ETF,XSHG,2020-04-30,600276.XSHG,600276,恒瑞医药,XSHG,200,1,10.0,
7,510020.XSHG,510020,博时上证超大盘ETF,XSHG,2020-04-30,600309.XSHG,600309,万华化学,XSHG,300,1,10.0,
8,510020.XSHG,510020,博时上证超大盘ETF,XSHG,2020-04-30,600519.XSHG,600519,贵州茅台,XSHG,0,2,,0.0
9,510020.XSHG,510020,博时上证超大盘ETF,XSHG,2020-04-30,600585.XSHG,600585,海螺水泥,XSHG,400,1,10.0,
10,510020.XSHG,510020,博时上证超大盘ETF,XSHG,2020-04-30,600887.XSHG,600887,伊利股份,XSHG,500,1,10.0,
11,510020.XSHG,510020,博时上证超大盘ETF,XSHG,2020-04-30,601138.XSHG,601138,工业富联,XSHG,900,1,10.0,
12,510020.XSHG,510020,博时上证超大盘ETF,XSHG,2020-04-30,601166.XSHG,601166,兴业银行,XSHG,800,1,10.0,
13,510020.XSHG,510020,博时上证超大盘ETF,XSHG,2020-04-30,601186.XSHG,601186,中国铁建,XSHG,1500,1,10.0,
14,510020.XSHG,510020,博时上证超大盘ETF,XSHG,2020-04-30,601288.XSHG,601288,农业银行,XSHG,4100,1,10.0,
15,510020.XSHG,510020,博时上证超大盘ETF,XSHG,2020-04-30,601318.XSHG,601318,中国平安,XSHG,200,1,10.0,
16,510020.XSHG,510020,博时上证超大盘ETF,XSHG,2020-04-30,601398.XSHG,601398,工商银行,XSHG,2600,1,10.0,
17,510020.XSHG,510020,博时上证超大盘ETF,XSHG,2020-04-30,601668.XSHG,601668,中国建筑,XSHG,2900,1,10.0,
18,510020.XSHG,510020,博时上证超大盘ETF,XSHG,2020-04-30,601766.XSHG,601766,中国中车,XSHG,2200,1,10.0,
19,510020.XSHG,510020,博时上证超大盘ETF,XSHG,2020-04-30,601857.XSHG,601857,中国石油,XSHG,2700,1,10.0,
20,510020.XSHG,510020,博时上证超大盘ETF,XSHG,2020-04-29,600028.XSHG,600028,中国石化,XSHG,3000,1,10.0,
21,510020.XSHG,510020,博时上证超大盘ETF,XSHG,2020-04-29,600030.XSHG,600030,中信证券,XSHG,800,1,10.0,
22,510020.XSHG,510020,博时上证超大盘ETF,XSHG,2020-04-29,600031.XSHG,600031,三一重工,XSHG,1000,1,10.0,
23,510020.XSHG,510020,博时上证超大盘ETF,XSHG,2020-04-29,600036.XSHG,600036,招商银行,XSHG,500,1,10.0,
24,510020.XSHG,510020,博时上证超大盘ETF,XSHG,2020-04-29,600050.XSHG,600050,中国联通,XSHG,2700,1,10.0,
25,510020.XSHG,510020,博时上证超大盘ETF,XSHG,2020-04-29,600104.XSHG,600104,上汽集团,XSHG,700,1,10.0,
26,510020.XSHG,510020,博时上证超大盘ETF,XSHG,2020-04-29,600276.XSHG,600276,恒瑞医药,XSHG,200,1,10.0,
27,510020.XSHG,510020,博时上证超大盘ETF,XSHG,2020-04-29,600309.XSHG,600309,万华化学,XSHG,300,1,10.0,
28,510020.XSHG,510020,博时上证超大盘ETF,XSHG,2020-04-29,600519.XSHG,600519,贵州茅台,XSHG,0,2,,0.0
29,510020.XSHG,510020,博时上证超大盘ETF,XSHG,2020-04-29,600585.XSHG,600585,海螺水泥,XSHG,400,1,10.0,
30,510020.XSHG,510020,博时上证超大盘ETF,XSHG,2020-04-29,600887.XSHG,600887,伊利股份,XSHG,500,1,10.0,
31,510020.XSHG,510020,博时上证超大盘ETF,XSHG,2020-04-29,601138.XSHG,601138,工业富联,XSHG,900,1,10.0,
32,510020.XSHG,510020,博时上证超大盘ETF,XSHG,2020-04-29,601166.XSHG,601166,兴业银行,XSHG,800,1,10.0,
33,510020.XSHG,510020,博时上证超大盘ETF,XSHG,2020-04-29,601186.XSHG,601186,中国铁建,XSHG,1500,1,10.0,
34,510020.XSHG,510020,博时上证超大盘ETF,XSHG,2020-04-29,601288.XSHG,601288,农业银行,XSHG,4100,1,10.0,
35,510020.XSHG,510020,博时上证超大盘ETF,XSHG,2020-04-29,601318.XSHG,601318,中国平安,XSHG,200,1,10.0,
36,510020.XSHG,510020,博时上证超大盘ETF,XSHG,2020-04-29,601398.XSHG,601398,工商银行,XSHG,2600,1,10.0,
37,510020.XSHG,510020,博时上证超大盘ETF,XSHG,2020-04-29,601668.XSHG,601668,中国建筑,XSHG,2900,1,10.0,
38,510020.XSHG,510020,博时上证超大盘ETF,XSHG,2020-04-29,601766.XSHG,601766,中国中车,XSHG,2200,1,10.0,
39,510020.XSHG,510020,博时上证超大盘ETF,XSHG,2020-04-29,601857.XSHG,601857,中国石油,XSHG,2600,1,10.0,
40,510020.XSHG,510020,博时上证超大盘ETF,XSHG,2020-04-28,600028.XSHG,600028,中国石化,XSHG,3000,1,10.0,
41,510020.XSHG,510020,博时上证超大盘ETF,XSHG,2020-04-28,600030.XSHG,600030,中信证券,XSHG,800,1,10.0,
42,510020.XSHG,510020,博时上证超大盘ETF,XSHG,2020-04-28,600031.XSHG,600031,三一重工,XSHG,1000,1,10.0,
43,510020.XSHG,510020,博时上证超大盘ETF,XSHG,2020-04-28,600036.XSHG,600036,招商银行,XSHG,500,1,10.0,
44,510020.XSHG,510020,博时上证超大盘ETF,XSHG,2020-04-28,600050.XSHG,600050,中国联通,XSHG,2700,1,10.0,
45,510020.XSHG,510020,博时上证超大盘ETF,XSHG,2020-04-28,600104.XSHG,600104,上汽集团,XSHG,700,1,10.0,
46,510020.XSHG,510020,博时上证超大盘ETF,XSHG,2020-04-28,600276.XSHG,600276,恒瑞医药,XSHG,200,1,10.0,
47,510020.XSHG,510020,博时上证超大盘ETF,XSHG,2020-04-28,600309.XSHG,600309,万华化学,XSHG,300,1,10.0,
48,510020.XSHG,510020,博时上证超大盘ETF,XSHG,2020-04-28,600519.XSHG,600519,贵州茅台,XSHG,0,2,,0.0
49,510020.XSHG,510020,博时上证超大盘ETF,XSHG,2020-04-28,600585.XSHG,600585,海螺水泥,XSHG,400,1,10.0,
50,510020.XSHG,510020,博时上证超大盘ETF,XSHG,2020-04-28,600887.XSHG,600887,伊利股份,XSHG,500,1,10.0,
51,510020.XSHG,510020,博时上证超大盘ETF,XSHG,2020-04-28,601138.XSHG,601138,工业富联,XSHG,900,1,10.0,
52,510020.XSHG,510020,博时上证超大盘ETF,XSHG,2020-04-28,601166.XSHG,601166,兴业银行,XSHG,800,1,10.0,
53,510020.XSHG,510020,博时上证超大盘ETF,XSHG,2020-04-28,601186.XSHG,601186,中国铁建,XSHG,1500,1,10.0,
54,510020.XSHG,510020,博时上证超大盘ETF,XSHG,2020-04-28,601288.XSHG,601288,农业银行,XSHG,4100,1,10.0,
55,510020.XSHG,510020,博时上证超大盘ETF,XSHG,2020-04-28,601318.XSHG,601318,中国平安,XSHG,200,1,10.0,
56,510020.XSHG,510020,博时上证超大盘ETF,XSHG,2020-04-28,601398.XSHG,601398,工商银行,XSHG,2600,1,10.0,
57,510020.XSHG,510020,博时上证超大盘ETF,XSHG,2020-04-28,601668.XSHG,601668,中国建筑,XSHG,2900,1,10.0,
58,510020.XSHG,510020,博时上证超大盘ETF,XSHG,2020-04-28,601766.XSHG,601766,中国中车,XSHG,2200,1,10.0,
59,510020.XSHG,510020,博时上证超大盘ETF,XSHG,2020-04-28,601857.XSHG,601857,中国石油,XSHG,2700,1,10.0,
60,510020.XSHG,510020,博时上证超大盘ETF,XSHG,2020-04-27,600028.XSHG,600028,中国石化,XSHG,3000,1,10.0,
61,510020.XSHG,510020,博时上证超大盘ETF,XSHG,2020-04-27,600030.XSHG,600030,中信证券,XSHG,800,1,10.0,
62,510020.XSHG,510020,博时上证超大盘ETF,XSHG,2020-04-27,600031.XSHG,600031,三一重工,XSHG,1000,1,10.0,
63,510020.XSHG,510020,博时上证超大盘ETF,XSHG,2020-04-27,600036.XSHG,600036,招商银行,XSHG,500,1,10.0,
64,510020.XSHG,510020,博时上证超大盘ETF,XSHG,2020-04-27,600050.XSHG,600050,中国联通,XSHG,2700,1,10.0,
65,510020.XSHG,510020,博时上证超大盘ETF,XSHG,2020-04-27,600104.XSHG,600104,上汽集团,XSHG,700,1,10.0,
66,510020.XSHG,510020,博时上证超大盘ETF,XSHG,2020-04-27,600276.XSHG,600276,恒瑞医药,XSHG,200,1,10.0,
67,510020.XSHG,510020,博时上证超大盘ETF,XSHG,2020-04-27,600309.XSHG,600309,万华化学,XSHG,300,1,10.0,
68,510020.XSHG,510020,博时上证超大盘ETF,XSHG,2020-04-27,600519.XSHG,600519,贵州茅台,XSHG,0,2,,0.0
69,510020.XSHG,510020,博时上证超大盘ETF,XSHG,2020-04-27,600585.XSHG,600585,海螺水泥,XSHG,400,1,10.0,
70,510020.XSHG,510020,博时上证超大盘ETF,XSHG,2020-04-27,600887.XSHG,600887,伊利股份,XSHG,500,1,10.0,
71,510020.XSHG,510020,博时上证超大盘ETF,XSHG,2020-04-27,601138.XSHG,601138,工业富联,XSHG,900,1,10.0,
72,510020.XSHG,510020,博时上证超大盘ETF,XSHG,2020-04-27,601166.XSHG,601166,兴业银行,XSHG,800,1,10.0,
73,510020.XSHG,510020,博时上证超大盘ETF,XSHG,2020-04-27,601186.XSHG,601186,中国铁建,XSHG,1500,1,10.0,
74,510020.XSHG,510020,博时上证超大盘ETF,XSHG,2020-04-27,601288.XSHG,601288,农业银行,XSHG,4100,1,10.0,
75,510020.XSHG,510020,博时上证超大盘ETF,XSHG,2020-04-27,601318.XSHG,601318,中国平安,XSHG,200,1,10.0,
76,510020.XSHG,510020,博时上证超大盘ETF,XSHG,2020-04-27,601398.XSHG,601398,工商银行,XSHG,2600,1,10.0,
77,510020.XSHG,510020,博时上证超大盘ETF,XSHG,2020-04-27,601668.XSHG,601668,中国建筑,XSHG,2900,1,10.0,
78,510020.XSHG,510020,博时上证超大盘ETF,XSHG,2020-04-27,601766.XSHG,601766,中国中车,XSHG,2200,1,10.0,
79,510020.XSHG,510020,博时上证超大盘ETF,XSHG,2020-04-27,601857.XSHG,601857,中国石油,XSHG,2600,1,10.0,
80,510020.XSHG,510020,博时上证超大盘ETF,XSHG,2020-04-24,600028.XSHG,600028,中国石化,XSHG,3000,1,10.0,
81,510020.XSHG,510020,博时上证超大盘ETF,XSHG,2020-04-24,600030.XSHG,600030,中信证券,XSHG,800,1,10.0,
82,510020.XSHG,510020,博时上证超大盘ETF,XSHG,2020-04-24,600031.XSHG,600031,三一重工,XSHG,1000,1,10.0,
83,510020.XSHG,510020,博时上证超大盘ETF,XSHG,2020-04-24,600036.XSHG,600036,招商银行,XSHG,500,1,10.0,
84,510020.XSHG,510020,博时上证超大盘ETF,XSHG,2020-04-24,600050.XSHG,600050,中国联通,XSHG,2700,1,10.0,
85,510020.XSHG,510020,博时上证超大盘ETF,XSHG,2020-04-24,600104.XSHG,600104,上汽集团,XSHG,700,1,10.0,
86,510020.XSHG,510020,博时上证超大盘ETF,XSHG,2020-04-24,600276.XSHG,600276,恒瑞医药,XSHG,200,1,10.0,
87,510020.XSHG,510020,博时上证超大盘ETF,XSHG,2020-04-24,600309.XSHG,600309,万华化学,XSHG,300,1,10.0,
88,510020.XSHG,510020,博时上证超大盘ETF,XSHG,2020-04-24,600519.XSHG,600519,贵州茅台,XSHG,0,2,,0.0
89,510020.XSHG,510020,博时上证超大盘ETF,XSHG,2020-04-24,600585.XSHG,600585,海螺水泥,XSHG,400,1,10.0,
90,510020.XSHG,510020,博时上证超大盘ETF,XSHG,2020-04-24,600887.XSHG,600887,伊利股份,XSHG,500,1,10.0,
91,510020.XSHG,510020,博时上证超大盘ETF,XSHG,2020-04-24,601138.XSHG,601138,工业富联,XSHG,900,1,10.0,
92,510020.XSHG,510020,博时上证超大盘ETF,XSHG,2020-04-24,601166.XSHG,601166,兴业银行,XSHG,800,1,10.0,
93,510020.XSHG,510020,博时上证超大盘ETF,XSHG,2020-04-24,601186.XSHG,601186,中国铁建,XSHG,1500,1,10.0,
94,510020.XSHG,510020,博时上证超大盘ETF,XSHG,2020-04-24,601288.XSHG,601288,农业银行,XSHG,4100,1,10.0,
95,510020.XSHG,510020,博时上证超大盘ETF,XSHG,2020-04-24,601318.XSHG,601318,中国平安,XSHG,200,1,10.0,
96,510020.XSHG,510020,博时上证超大盘ETF,XSHG,2020-04-24,601398.XSHG,601398,工商银行,XSHG,2600,1,10.0,
97,510020.XSHG,510020,博时上证超大盘ETF,XSHG,2020-04-24,601668.XSHG,601668,中国建筑,XSHG,2900,1,10.0,
98,510020.XSHG,510020,博时上证超大盘ETF,XSHG,2020-04-24,601766.XSHG,601766,中国中车,XSHG,2200,1,10.0,
99,510020.XSHG,510020,博时上证超大盘ETF,XSHG,2020-04-24,601857.XSHG,601857,中国石油,XSHG,2600,1,10.0,
100,510020.XSHG,510020,博时上证超大盘ETF,XSHG,2020-04-23,600028.XSHG,600028,中国石化,XSHG,3000,1,10.0,
101,510020.XSHG,510020,博时上证超大盘ETF,XSHG,2020-04-23,600030.XSHG,600030,中信证券,XSHG,800,1,10.0,
102,510020.XSHG,510020,博时上证超大盘ETF,XSHG,2020-04-23,600031.XSHG,600031,三一重工,XSHG,1000,1,10.0,
103,510020.XSHG,510020,博时上证超大盘ETF,XSHG,2020-04-23,600036.XSHG,600036,招商银行,XSHG,500,1,10.0,
104,510020.XSHG,510020,博时上证超大盘ETF,XSHG,2020-04-23,600050.XSHG,600050,中国联通,XSHG,2600,1,10.0,
105,510020.XSHG,510020,博时上证超大盘ETF,XSHG,2020-04-23,600104.XSHG,600104,上汽集团,XSHG,700,1,10.0,
106,510020.XSHG,510020,博时上证超大盘ETF,XSHG,2020-04-23,600276.XSHG,600276,恒瑞医药,XSHG,200,1,10.0,
107,510020.XSHG,510020,博时上证超大盘ETF,XSHG,2020-04-23,600309.XSHG,600309,万华化学,XSHG,300,1,10.0,
108,510020.XSHG,510020,博时上证超大盘ETF,XSHG,2020-04-23,600519.XSHG,600519,贵州茅台,XSHG,0,2,,0.0
109,510020.XSHG,510020,博时上证超大盘ETF,XSHG,2020-04-23,600585.XSHG,600585,海螺水泥,XSHG,400,1,10.0,
110,510020.XSHG,510020,博时上证超大盘ETF,XSHG,2020-04-23,600887.XSHG,600887,伊利股份,XSHG,500,1,10.0,
111,510020.XSHG,510020,博时上证超大盘ETF,XSHG,2020-04-23,601138.XSHG,601138,工业富联,XSHG,900,1,10.0,
